32,NaN,NaN,1.051485570699068,
64,NaN,NaN,1.0267659094873858,
128,1.6540148818885072,,1.018069340416995,
256,1.6463940924258016,,1.0080904692001296,
512,1.5913447043401268,,1.0039374793934825,
1024,1.4916310802345498,,1.002101458846473,
2048,1.410461174114046,,1.0010840433177886,
4096,1.3621458620073388,,1.0005266232636894,
8192,1.326459284238592,,1.000247525397922,
16384,1.3038020780752326,,1.0001093930075708,
32768,1.2852593162137562,,1.0000680096967582,
65536,1.2762574187545663,,1.0000336113103787,
